especie,wolbachia,tratamento,data,R1,R2,R3,R4,R5
bocquete,P,V,19/10/2022,13,14,13,15,14
bocquete,P,C,19/10/2022,14,15,13,13,15
bocquete,N,V,19/10/2022,9,12,14,14,13
bocquete,N,C,19/10/2022,15,15,14,11,9
melanogaster,P,V,19/10/2022,15,15,15,14,15
melanogaster,P,C,19/10/2022,15,14,15,15,15
melanogaster,N,V,19/10/2022,15,15,15,15,14
melanogaster,N,C,19/10/2022,15,15,14,15,14
bocquete,P,V,20/10/2022,13,13,13,13,13
bocquete,P,C,20/10/2022,13,13,13,11,14
bocquete,N,V,20/10/2022,9,12,12,14,13
bocquete,N,C,20/10/2022,15,15,14,11,8
melanogaster,P,V,20/10/2022,15,15,15,14,14
melanogaster,P,C,20/10/2022,15,14,15,15,15
melanogaster,N,V,20/10/2022,15,15,15,15,14
melanogaster,N,C,20/10/2022,14,15,14,15,14
baimai,P,V,20/10/2022,14,14,15,15,14
baimai,P,C,20/10/2022,14,13,13,14,15
baimai,N,V,20/10/2022,14,15,14,14,15
baimai,N,C,20/10/2022,14,14,14,14,12
triauraria,P,V,20/10/2022,7,10,7,8,9
triauraria,P,C,20/10/2022,11,9,6,8,9
triauraria,N,V,20/10/2022,11,8,13,11,13
triauraria,N,C,20/10/2022,12,10,13,12,4
bocquete,P,V,21/10/2022,11,13,13,12,12
bocquete,P,C,21/10/2022,12,13,12,11,14
bocquete,N,V,21/10/2022,8,11,11,12,13
bocquete,N,C,21/10/2022,14,15,13,10,8
melanogaster,P,V,21/10/2022,14,15,13,13,14
melanogaster,P,C,21/10/2022,15,13,15,15,14
melanogaster,N,V,21/10/2022,15,15,15,14,14
melanogaster,N,C,21/10/2022,14,14,14,14,13
baimai,P,V,21/10/2022,14,14,14,14,14
baimai,P,C,21/10/2022,12,11,13,14,14
baimai,N,V,21/10/2022,14,15,14,14,15
baimai,N,C,21/10/2022,14,14,13,14,10
triauraria,P,V,21/10/2022,7,10,6,8,9
triauraria,P,C,21/10/2022,10,6,6,6,8
triauraria,N,V,21/10/2022,11,8,11,11,12
triauraria,N,C,21/10/2022,11,8,10,11,4
bocquete,P,V,22/10/2022,11,13,13,11,12
bocquete,P,C,22/10/2022,11,11,12,10,14
bocquete,N,V,22/10/2022,8,11,10,11,13
bocquete,N,C,22/10/2022,14,14,13,10,8
melanogaster,P,V,22/10/2022,14,15,13,13,14
melanogaster,P,C,22/10/2022,11,13,14,15,14
melanogaster,N,V,22/10/2022,14,14,15,13,13
melanogaster,N,C,22/10/2022,13,12,14,14,13
baimai,P,V,22/10/2022,14,14,13,14,14
baimai,P,C,22/10/2022,12,11,12,14,14
baimai,N,V,22/10/2022,14,14,14,14,15
baimai,N,C,22/10/2022,12,13,13,13,10
triauraria,P,V,22/10/2022,7,9,6,8,9
triauraria,P,C,22/10/2022,9,6,6,5,8
triauraria,N,V,22/10/2022,10,8,11,11,11
triauraria,N,C,22/10/2022,11,9,9,10,4
bocquete,P,V,23/10/2022,11,11,11,10,12
bocquete,P,C,23/10/2022,10,10,12,10,14
bocquete,N,V,23/10/2022,8,11,10,11,12
bocquete,N,C,23/10/2022,13,14,13,10,8
melanogaster,P,V,23/10/2022,14,15,13,13,14
melanogaster,P,C,23/10/2022,11,13,14,15,14
melanogaster,N,V,23/10/2022,14,14,15,13,12
melanogaster,N,C,23/10/2022,12,11,14,14,11
baimai,P,V,23/10/2022,14,14,12,13,14
baimai,P,C,23/10/2022,12,11,12,14,14
baimai,N,V,23/10/2022,14,14,14,14,15
baimai,N,C,23/10/2022,12,13,13,12,10
triauraria,P,V,23/10/2022,6,9,6,7,7
triauraria,P,C,23/10/2022,9,5,6,5,8
triauraria,N,V,23/10/2022,8,7,10,10,10
triauraria,N,C,23/10/2022,8,8,9,8,4
bocquete,P,V,24/10/2022,10,10,11,10,12
bocquete,P,C,24/10/2022,10,10,12,10,13
bocquete,N,V,24/10/2022,8,11,9,10,10
bocquete,N,C,24/10/2022,13,14,13,9,8
melanogaster,P,V,24/10/2022,12,15,12,13,14
melanogaster,P,C,24/10/2022,11,12,14,15,13
melanogaster,N,V,24/10/2022,14,13,15,13,12
melanogaster,N,C,24/10/2022,12,10,14,12,11
baimai,P,V,24/10/2022,13,14,12,12,14
baimai,P,C,24/10/2022,11,11,11,14,14
baimai,N,V,24/10/2022,14,14,13,14,15
baimai,N,C,24/10/2022,12,13,13,12,10
triauraria,P,V,24/10/2022,6,8,6,6,7
triauraria,P,C,24/10/2022,7,5,6,4,8
triauraria,N,V,24/10/2022,8,7,10,9,10
triauraria,N,C,24/10/2022,7,8,7,8,4
bocquete,P,V,25/10/2022,10,10,11,9,11
bocquete,P,C,25/10/2022,10,10,12,10,12
bocquete,N,V,25/10/2022,7,11,8,10,10
bocquete,N,C,25/10/2022,13,14,13,9,7
melanogaster,P,V,25/10/2022,12,15,12,13,14
melanogaster,P,C,25/10/2022,11,12,14,15,13
melanogaster,N,V,25/10/2022,14,13,13,13,12
melanogaster,N,C,25/10/2022,11,8,13,12,9
baimai,P,V,25/10/2022,13,14,12,12,14
baimai,P,C,25/10/2022,11,11,11,14,13
baimai,N,V,25/10/2022,14,14,13,14,15
baimai,N,C,25/10/2022,12,13,13,12,10
triauraria,P,V,25/10/2022,5,8,6,6,7
triauraria,P,C,25/10/2022,7,5,6,4,8
triauraria,N,V,25/10/2022,7,6,10,9,10
triauraria,N,C,25/10/2022,7,8,7,8,3
bocquete,P,V,26/10/2022,10,10,10,9,11
bocquete,P,C,26/10/2022,9,10,12,10,12
bocquete,N,V,26/10/2022,7,11,8,10,10
bocquete,N,C,26/10/2022,13,12,13,9,6
melanogaster,P,V,26/10/2022,11,15,12,13,13
melanogaster,P,C,26/10/2022,11,12,14,15,13
melanogaster,N,V,26/10/2022,14,13,11,13,11
melanogaster,N,C,26/10/2022,6,7,12,11,6
baimai,P,V,26/10/2022,12,13,12,12,14
baimai,P,C,26/10/2022,10,11,11,14,13
baimai,N,V,26/10/2022,14,14,13,12,15
baimai,N,C,26/10/2022,12,13,13,12,10
triauraria,P,V,26/10/2022,5,7,6,6,7
triauraria,P,C,26/10/2022,7,5,6,4,8
triauraria,N,V,26/10/2022,6,6,10,8,8
triauraria,N,C,26/10/2022,7,8,7,8,3
bocquete,P,V,27/10/2022,10,10,10,9,10
bocquete,P,C,27/10/2022,9,9,12,7,9
bocquete,N,V,27/10/2022,7,11,8,10,10
bocquete,N,C,27/10/2022,11,12,12,8,6
melanogaster,P,V,27/10/2022,11,15,12,13,13
melanogaster,P,C,27/10/2022,11,12,14,13,13
melanogaster,N,V,27/10/2022,13,10,8,9,2
melanogaster,N,C,27/10/2022,4,3,8,11,5
baimai,P,V,27/10/2022,12,13,12,12,10
baimai,P,C,27/10/2022,10,10,11,14,13
baimai,N,V,27/10/2022,14,14,13,11,14
baimai,N,C,27/10/2022,12,13,12,12,10
triauraria,P,V,27/10/2022,4,6,6,6,7
triauraria,P,C,27/10/2022,7,5,6,4,8
triauraria,N,V,27/10/2022,6,5,10,8,8
triauraria,N,C,27/10/2022,7,8,6,8,3
bocquete,P,V,28/10/2022,9,8,10,9,9
bocquete,P,C,28/10/2022,9,6,8,4,7
bocquete,N,V,28/10/2022,6,11,8,9,10
bocquete,N,C,28/10/2022,10,12,12,7,6
melanogaster,P,V,28/10/2022,8,13,12,12,10
melanogaster,P,C,28/10/2022,11,12,14,11,12
melanogaster,N,V,28/10/2022,2,2,4,2,1
melanogaster,N,C,28/10/2022,3,2,4,10,4
baimai,P,V,28/10/2022,11,11,9,6,10
baimai,P,C,28/10/2022,10,9,11,14,13
baimai,N,V,28/10/2022,12,12,11,10,14
baimai,N,C,28/10/2022,11,13,11,12,10
triauraria,P,V,28/10/2022,4,6,6,6,7
triauraria,P,C,28/10/2022,6,5,6,4,7
triauraria,N,V,28/10/2022,6,5,9,6,8
triauraria,N,C,28/10/2022,7,8,6,7,3
bocquete,P,V,29/10/2022,9,8,10,9,9
bocquete,P,C,29/10/2022,9,6,7,3,6
bocquete,N,V,29/10/2022,6,10,8,8,9
bocquete,N,C,29/10/2022,9,11,9,7,6
melanogaster,P,V,29/10/2022,5,9,8,8,8
melanogaster,P,C,29/10/2022,10,12,14,11,12
melanogaster,N,V,29/10/2022,0,0,1,0,0
melanogaster,N,C,29/10/2022,2,2,3,9,2
baimai,P,V,29/10/2022,3,4,3,4,6
baimai,P,C,29/10/2022,10,9,11,14,13
baimai,N,V,29/10/2022,10,6,7,3,9
baimai,N,C,29/10/2022,11,13,11,11,10
triauraria,P,V,29/10/2022,4,5,6,6,6
triauraria,P,C,29/10/2022,6,5,5,4,7
triauraria,N,V,29/10/2022,6,5,8,5,8
triauraria,N,C,29/10/2022,6,8,6,7,3
bocquete,P,V,30/10/2022,9,8,10,9,9
bocquete,P,C,30/10/2022,8,5,7,3,6
bocquete,N,V,30/10/2022,6,8,8,8,9
bocquete,N,C,30/10/2022,9,11,9,7,6
melanogaster,P,V,30/10/2022,4,3,2,6,3
melanogaster,P,C,30/10/2022,10,11,14,9,12
melanogaster,N,V,30/10/2022,0,0,1,0,0
melanogaster,N,C,30/10/2022,1,1,1,5,1
baimai,P,V,30/10/2022,2,1,3,3,5
baimai,P,C,30/10/2022,10,9,11,14,13
baimai,N,V,30/10/2022,6,6,4,3,7
baimai,N,C,30/10/2022,11,12,11,12,10
triauraria,P,V,30/10/2022,4,5,6,5,6
triauraria,P,C,30/10/2022,5,5,5,4,7
triauraria,N,V,30/10/2022,6,4,8,5,8
triauraria,N,C,30/10/2022,6,8,6,7,3
bocquete,P,V,31/10/2022,9,8,10,9,9
bocquete,P,C,31/10/2022,8,5,7,3,6
bocquete,N,V,31/10/2022,4,8,8,8,9
bocquete,N,C,31/10/2022,8,11,9,7,6
melanogaster,P,V,31/10/2022,4,2,1,5,3
melanogaster,P,C,31/10/2022,10,11,14,9,12
melanogaster,N,V,31/10/2022,0,0,1,0,0
melanogaster,N,C,31/10/2022,1,1,0,5,1
baimai,P,V,31/10/2022,2,1,3,2,4
baimai,P,C,31/10/2022,9,9,11,14,13
baimai,N,V,31/10/2022,4,3,3,3,6
baimai,N,C,31/10/2022,11,12,11,12,10
triauraria,P,V,31/10/2022,4,5,4,3,6
triauraria,P,C,31/10/2022,5,5,5,4,7
triauraria,N,V,31/10/2022,6,4,4,5,8
triauraria,N,C,31/10/2022,6,7,6,7,3
bocquete,P,V,01/11/2022,9,8,10,9,9
bocquete,P,C,01/11/2022,7,5,7,3,6
bocquete,N,V,01/11/2022,4,8,8,8,9
bocquete,N,C,01/11/2022,8,10,9,7,6
melanogaster,P,V,01/11/2022,4,2,1,5,3
melanogaster,P,C,01/11/2022,9,11,14,9,12
melanogaster,N,V,01/11/2022,0,0,1,0,0
melanogaster,N,C,01/11/2022,1,1,0,5,1
baimai,P,V,01/11/2022,2,1,2,1,4
baimai,P,C,01/11/2022,9,9,11,14,13
baimai,N,V,01/11/2022,2,2,2,2,3
baimai,N,C,01/11/2022,11,12,11,12,10
triauraria,P,V,01/11/2022,4,5,4,2,6
triauraria,P,C,01/11/2022,5,5,5,4,7
triauraria,N,V,01/11/2022,4,4,4,5,7
triauraria,N,C,01/11/2022,6,7,5,7,3
bocquete,P,V,02/11/2022,9,8,10,9,9
bocquete,P,C,02/11/2022,7,5,7,3,6
bocquete,N,V,02/11/2022,4,8,8,8,9
bocquete,N,C,02/11/2022,8,10,9,7,6
melanogaster,P,V,02/11/2022,3,2,0,2,2
melanogaster,P,C,02/11/2022,9,11,14,9,12
melanogaster,N,V,02/11/2022,0,0,1,0,0
melanogaster,N,C,02/11/2022,1,1,0,5,1
baimai,P,V,02/11/2022,0,0,2,1,0
baimai,P,C,02/11/2022,8,9,11,14,13
baimai,N,V,02/11/2022,0,0,0,0,2
baimai,N,C,02/11/2022,10,12,11,12,10
triauraria,P,V,02/11/2022,3,5,3,1,6
triauraria,P,C,02/11/2022,5,5,5,4,7
triauraria,N,V,02/11/2022,4,4,1,4,7
triauraria,N,C,02/11/2022,6,7,5,7,3
bocquete,P,V,03/11/2022,9,8,10,9,9
bocquete,P,C,03/11/2022,7,5,7,3,6
bocquete,N,V,03/11/2022,4,8,8,8,9
bocquete,N,C,03/11/2022,8,10,9,7,6
melanogaster,P,V,03/11/2022,3,1,0,2,1
melanogaster,P,C,03/11/2022,8,11,14,9,12
melanogaster,N,V,03/11/2022,0,0,1,0,0
melanogaster,N,C,03/11/2022,1,1,0,5,1
baimai,P,V,03/11/2022,0,1,2,0,0
baimai,P,C,03/11/2022,8,9,11,14,13
baimai,N,V,03/11/2022,0,0,0,0,0
baimai,N,C,03/11/2022,10,12,11,12,10
triauraria,P,V,03/11/2022,3,5,3,1,6
triauraria,P,C,03/11/2022,5,5,5,4,7
triauraria,N,V,03/11/2022,4,4,1,3,7
triauraria,N,C,03/11/2022,6,7,5,7,3
bocquete,P,V,04/11/2022,9,8,10,8,9
bocquete,P,C,04/11/2022,7,4,7,3,6
bocquete,N,V,04/11/2022,4,8,8,8,9
bocquete,N,C,04/11/2022,8,10,9,7,6
melanogaster,P,V,04/11/2022,3,1,0,2,1
melanogaster,P,C,04/11/2022,8,11,14,9,12
melanogaster,N,V,04/11/2022,0,0,1,0,0
melanogaster,N,C,04/11/2022,1,1,0,5,1
baimai,P,V,04/11/2022,0,1,2,0,0
baimai,P,C,04/11/2022,8,9,11,14,13
baimai,N,V,04/11/2022,0,0,0,0,0
baimai,N,C,04/11/2022,10,12,11,12,10
triauraria,P,V,04/11/2022,2,3,3,1,6
triauraria,P,C,04/11/2022,4,5,5,4,7
triauraria,N,V,04/11/2022,4,4,1,3,6
triauraria,N,C,04/11/2022,6,7,5,7,3
bocquete,P,V,05/11/2022,9,8,10,8,9
bocquete,P,C,05/11/2022,7,4,7,3,6
bocquete,N,V,05/11/2022,4,8,8,8,9
bocquete,N,C,05/11/2022,6,10,9,7,6
melanogaster,P,V,05/11/2022,3,1,0,2,1
melanogaster,P,C,05/11/2022,8,11,14,9,12
melanogaster,N,V,05/11/2022,0,0,1,0,0
melanogaster,N,C,05/11/2022,1,1,0,5,1
baimai,P,V,05/11/2022,0,1,2,0,0
baimai,P,C,05/11/2022,8,9,11,14,13
baimai,N,V,05/11/2022,0,0,0,0,0
baimai,N,C,05/11/2022,10,12,11,12,10
triauraria,P,V,05/11/2022,2,2,3,1,6
triauraria,P,C,05/11/2022,4,5,5,4,7
triauraria,N,V,05/11/2022,4,3,1,2,4
triauraria,N,C,05/11/2022,6,7,5,7,3
bocquete,P,V,06/11/2022,9,8,10,8,9
bocquete,P,C,06/11/2022,6,4,7,3,6
bocquete,N,V,06/11/2022,4,8,8,8,9
bocquete,N,C,06/11/2022,6,9,9,7,6
melanogaster,P,V,06/11/2022,3,1,0,2,1
melanogaster,P,C,06/11/2022,8,11,13,9,12
melanogaster,N,V,06/11/2022,0,0,1,0,0
melanogaster,N,C,06/11/2022,1,1,0,5,1
baimai,P,V,06/11/2022,0,0,0,0,0
baimai,P,C,06/11/2022,8,9,11,14,13
baimai,N,V,06/11/2022,0,0,0,0,0
baimai,N,C,06/11/2022,10,12,11,12,10
triauraria,P,V,06/11/2022,2,2,3,1,6
triauraria,P,C,06/11/2022,4,5,5,4,7
triauraria,N,V,06/11/2022,3,3,1,1,3
triauraria,N,C,06/11/2022,6,7,5,7,3
bocquete,P,V,07/11/2022,9,8,10,8,9
bocquete,P,C,07/11/2022,6,4,6,3,6
bocquete,N,V,07/11/2022,4,8,8,8,9
bocquete,N,C,07/11/2022,6,9,9,7,6
melanogaster,P,V,07/11/2022,3,1,0,1,1
melanogaster,P,C,07/11/2022,8,11,13,9,12
melanogaster,N,V,07/11/2022,0,0,1,0,0
melanogaster,N,C,07/11/2022,1,1,0,5,1
baimai,P,V,07/11/2022,0,0,0,0,0
baimai,P,C,07/11/2022,8,9,11,14,13
baimai,N,V,07/11/2022,0,0,0,0,0
baimai,N,C,07/11/2022,9,12,11,12,10
triauraria,P,V,07/11/2022,1,2,3,1,6
triauraria,P,C,07/11/2022,4,5,5,4,7
triauraria,N,V,07/11/2022,1,0,1,0,1
triauraria,N,C,07/11/2022,6,7,5,6,3
bocquete,P,V,08/11/2022,9,8,10,8,9
bocquete,P,C,08/11/2022,4,4,6,3,5
bocquete,N,V,08/11/2022,4,8,8,8,9
bocquete,N,C,08/11/2022,6,8,8,7,6
melanogaster,P,V,08/11/2022,3,1,0,1,1
melanogaster,P,C,08/11/2022,8,11,13,9,12
melanogaster,N,V,08/11/2022,0,0,1,0,0
melanogaster,N,C,08/11/2022,1,1,0,5,1
baimai,P,V,08/11/2022,0,0,0,0,0
baimai,P,C,08/11/2022,7,9,11,14,12
baimai,N,V,08/11/2022,0,0,0,0,0
baimai,N,C,08/11/2022,9,12,11,12,10
triauraria,P,V,08/11/2022,1,1,3,1,5
triauraria,P,C,08/11/2022,4,5,5,4,7
triauraria,N,V,08/11/2022,1,0,1,0,0
triauraria,N,C,08/11/2022,6,7,5,6,3
bocquete,P,V,09/11/2022,9,8,10,8,9
bocquete,P,C,09/11/2022,4,4,6,3,5
bocquete,N,V,09/11/2022,4,8,8,8,9
bocquete,N,C,09/11/2022,6,7,8,7,6
melanogaster,P,V,09/11/2022,3,1,0,1,1
melanogaster,P,C,09/11/2022,8,11,13,9,12
melanogaster,N,V,09/11/2022,0,0,1,0,0
melanogaster,N,C,09/11/2022,1,1,0,5,1
baimai,P,V,09/11/2022,0,0,0,0,0
baimai,P,C,09/11/2022,7,9,11,14,12
baimai,N,V,09/11/2022,0,0,0,0,0
baimai,N,C,09/11/2022,9,12,11,12,10
triauraria,P,V,09/11/2022,1,1,3,1,4
triauraria,P,C,09/11/2022,4,5,5,4,7
triauraria,N,V,09/11/2022,1,0,0,0,0
triauraria,N,C,09/11/2022,6,7,4,6,3
bocquete,P,V,10/11/2022,9,8,10,8,9
bocquete,P,C,10/11/2022,4,4,6,3,5
bocquete,N,V,10/11/2022,4,8,8,7,8
bocquete,N,C,10/11/2022,6,7,8,6,6
melanogaster,P,V,10/11/2022,2,1,0,1,0
melanogaster,P,C,10/11/2022,8,11,13,9,12
melanogaster,N,V,10/11/2022,0,0,1,0,0
melanogaster,N,C,10/11/2022,1,1,0,5,1
baimai,P,V,10/11/2022,0,0,0,0,0
baimai,P,C,10/11/2022,7,9,11,14,12
baimai,N,V,10/11/2022,0,0,0,0,0
baimai,N,C,10/11/2022,9,12,11,12,10
triauraria,P,V,10/11/2022,1,1,1,0,3
triauraria,P,C,10/11/2022,4,5,5,4,7
triauraria,N,V,10/11/2022,0,0,0,0,0
triauraria,N,C,10/11/2022,6,7,4,6,3
bocquete,P,V,11/11/2022,9,8,10,8,9
bocquete,P,C,11/11/2022,4,3,6,2,3
bocquete,N,V,11/11/2022,4,7,8,7,8
bocquete,N,C,11/11/2022,5,7,8,5,5
melanogaster,P,V,11/11/2022,2,1,0,1,0
melanogaster,P,C,11/11/2022,8,11,13,9,12
melanogaster,N,V,11/11/2022,0,0,1,0,0
melanogaster,N,C,11/11/2022,1,1,0,5,1
baimai,P,V,11/11/2022,0,0,0,0,0
baimai,P,C,11/11/2022,7,9,11,13,12
baimai,N,V,11/11/2022,0,0,0,0,0
baimai,N,C,11/11/2022,8,11,10,12,8
triauraria,P,V,11/11/2022,0,1,0,0,0
triauraria,P,C,11/11/2022,4,5,5,4,7
triauraria,N,V,11/11/2022,0,0,0,0,0
triauraria,N,C,11/11/2022,6,6,4,4,3
bocquete,P,V,12/11/2022,9,8,10,8,9
bocquete,P,C,12/11/2022,4,3,6,2,3
bocquete,N,V,12/11/2022,4,7,8,7,8
bocquete,N,C,12/11/2022,5,7,8,5,5
melanogaster,P,V,12/11/2022,2,1,0,1,0
melanogaster,P,C,12/11/2022,8,11,13,9,12
melanogaster,N,V,12/11/2022,0,0,1,0,0
melanogaster,N,C,12/11/2022,1,1,0,5,1
baimai,P,V,12/11/2022,0,0,0,0,0
baimai,P,C,12/11/2022,7,9,11,12,12
baimai,N,V,12/11/2022,0,0,0,0,0
baimai,N,C,12/11/2022,8,11,10,12,8
triauraria,P,V,12/11/2022,0,1,0,0,0
triauraria,P,C,12/11/2022,4,5,5,4,6
triauraria,N,V,12/11/2022,0,0,0,0,0
triauraria,N,C,12/11/2022,6,6,4,4,3
bocquete,P,V,13/11/2022,9,8,10,8,9
bocquete,P,C,13/11/2022,4,3,6,2,3
bocquete,N,V,13/11/2022,4,7,8,7,8
bocquete,N,C,13/11/2022,5,7,8,5,5
melanogaster,P,V,13/11/2022,2,1,0,1,0
melanogaster,P,C,13/11/2022,8,11,13,9,12
melanogaster,N,V,13/11/2022,0,0,1,0,0
melanogaster,N,C,13/11/2022,1,1,0,5,1
baimai,P,V,13/11/2022,0,0,0,0,0
baimai,P,C,13/11/2022,7,9,11,12,12
baimai,N,V,13/11/2022,0,0,0,0,0
baimai,N,C,13/11/2022,8,11,10,12,8
triauraria,P,V,13/11/2022,0,1,0,0,0
triauraria,P,C,13/11/2022,4,5,5,4,6
triauraria,N,V,13/11/2022,0,0,0,0,0
triauraria,N,C,13/11/2022,6,6,4,4,3